,Gene,Chr,Pos,Strand,DistanceTSS,Strength,Condition
1,SPO12,chr8,401554,+,-144,37.276595744680854,Ypd
2,MTC6,chr8,401554,-,-180,37.276595744680854,Ypd
3,YNR063W,chr14,735599,+,-940,39.89047619047619,Ypd
4,YLR112W,chr12,349636,+,-126,18.624434389140273,Ypd
5,HOG1,chr12,349636,+,-860,18.624434389140273,Ypd
6,CCW12,chr12,349636,-,-481,18.624434389140273,Ypd
7,YKR041W,chr11,524988,+,868,26.652343749999996,Ypd
8,UTH1,chr11,524988,+,-248,26.652343749999996,Ypd
9,PMA1,chr7,501473,-,-690,12.758893280632412,Ypd
10,BUD4,chr10,593563,+,-130,20.56179775280899,Ypd
11,JSN1,chr10,593563,-,-191,20.56179775280899,Ypd
12,SFG1,chr15,898369,+,-649,20.515267175572518,Ypd
13,SPS4,chr15,898369,-,-701,20.515267175572518,Ypd
14,CDC6,chr10,57934,+,-148,22.690987124463522,Ypd
15,ELO1,chr10,57934,-,-347,22.690987124463522,Ypd
16,HOF1,chr13,317789,+,-171,22.078602620087338,Ypd
17,EIS1,chr13,317789,-,-210,22.078602620087338,Ypd
18,ASE1,chr15,436477,-,-86,22.63157894736842,Ypd
19,PCL1,chr14,77680,+,-274,19.864406779661017,Ypd
20,SIM1,chr9,122169,+,-207,16.267605633802816,Ypd
21,IES6,chr5,70170,+,-541,15.893536121673003,Ypd
22,GLY1,chr5,70170,-,-318,15.893536121673003,Ypd
23,MMR1,chr12,494502,+,-174,14.933333333333332,Ypd
24,ATG26,chr12,494502,-,-194,14.933333333333332,Ypd
25,SED1,chr4,586130,+,-848,17.056410256410256,Ypd
26,YOR389W,chr15,1067504,+,-915,15.113122171945701,Ypd
27,FDH1,chr15,1067504,-,-240,15.113122171945701,Ypd
28,IRC8,chr10,322803,+,-177,12.996402877697841,Ypd
29,MCM7,chr2,613296,+,-176,14.438356164383562,Ypd
30,MIN7,chr2,613296,-,-806,14.438356164383562,Ypd
