,Gene,Chr,Pos,Strand,DistanceTSS,Strength,Condition
1,GPD1,chr4,411140,+,-291,219.3783783783784,Ypd
2,GPD1,chr4,411113,+,-318,118.72972972972973,Ypd
3,SNF4,chr7,309882,+,-124,37.76699029126213,Ypd
4,RPL2B,chr9,304679,+,-387,28.445378151260503,Ypd
5,TEF2,chr2,465006,+,-409,59.07272727272727,Ypd
6,TKL2,chr2,465006,-,-762,59.07272727272727,Ypd
7,RPL1B,chr7,272452,+,-226,30.514563106796114,Ypd
8,MRM2,chr7,272452,-,-437,30.514563106796114,Ypd
9,FMP23,chr2,322177,+,751,56.54545454545455,Ypd
10,RPS11B,chr2,322177,+,-280,56.54545454545455,Ypd
11,ZTA1,chr2,322177,-,-989,56.54545454545455,Ypd
12,RPS26A,chr7,167806,-,-781,29.77669902912621,Ypd
13,YGL188C-A,chr7,167806,-,-343,29.77669902912621,Ypd
14,RPL35A,chr4,117238,+,-239,86.85714285714286,Ypd
15,CCT6,chr4,815609,+,-410,79.37142857142858,Ypd
16,SND1,chr4,815609,-,-412,79.37142857142858,Ypd
17,RPS18A,chr4,1338806,+,-279,79.11428571428571,Ypd
18,UTP6,chr4,1338806,-,-686,79.11428571428571,Ypd
19,HOM6,chr10,685687,-,-133,80.0,Ypd
20,TEF1,chr16,708294,+,-388,18.963541666666668,Ypd
21,PMP1,chr3,171659,-,-433,12.385041551246537,Ypd
22,RPS10A,chr15,861070,+,-312,60.27777777777778,Ypd
23,YOR292C,chr15,861070,-,-196,60.27777777777778,Ypd
24,RPS14B,chr10,62371,+,-169,65.3125,Ypd
25,SOP4,chr10,62371,-,-146,65.3125,Ypd
26,CCT6,chr4,815837,+,-182,60.34285714285714,Ypd
27,SND1,chr4,815837,-,-640,60.34285714285714,Ypd
28,ATG19,chr15,162203,+,-455,58.22222222222222,Ypd
29,HMS2,chr10,698421,+,-705,48.2608695652174,Ypd
30,RPS4A,chr10,698421,-,-354,48.2608695652174,Ypd
31,GPD2,chr15,210432,+,-677,49.2093023255814,Ypd
32,MAM3,chr15,210432,-,-258,49.2093023255814,Ypd
33,PTK2,chr10,540567,+,-154,53.51351351351351,Ypd
34,APS2,chr10,540567,-,-348,53.51351351351351,Ypd
35,RPS7A,chr15,505199,+,-466,54.111111111111114,Ypd
36,RKI1,chr15,505199,-,-902,54.111111111111114,Ypd
37,RSM10,chr4,525482,+,-657,52.0,Ypd
38,NUP2,chr12,756178,+,-762,14.433962264150944,Ypd
39,RPS25B,chr12,756178,-,-271,14.433962264150944,Ypd
40,YLR407W,chr12,891765,+,-416,14.353773584905662,Ypd
41,RPL31B,chr12,891765,-,-526,14.353773584905662,Ypd
42,AFT1,chr7,389284,+,-126,22.52427184466019,Ypd
43,SHE9,chr4,1239121,+,-137,48.57142857142857,Ypd
44,CAF40,chr14,80186,+,-114,45.4054054054054,Ypd
45,RPL12B,chr4,1280498,+,-467,47.142857142857146,Ypd
46,RPL2B,chr9,304699,+,-367,19.478991596638657,Ypd
47,RPL18A,chr15,94572,-,-219,45.33333333333333,Ypd
48,RPL28,chr7,328787,+,-244,20.582524271844658,Ypd
49,VPS73,chr7,328787,-,-518,20.582524271844658,Ypd
50,RPL39,chr10,64306,+,-385,44.51428571428572,Ypd
51,RPS22A,chr10,64306,-,-204,44.51428571428572,Ypd
52,RPS24A,chr5,306452,+,-280,8.70843989769821,Ypd
53,ADH1,chr15,155240,-,-618,42.5,Ypd
54,BDF1,chr12,881783,-,-683,12.363207547169813,Ypd
55,RPS19B,chr14,53443,-,-332,38.75,Ypd
56,RPL23A,chr2,61345,-,-287,30.254545454545454,Ypd
57,MIT1,chr5,141590,+,-961,8.37084398976982,Ypd
58,RFT1,chr2,181714,+,-818,30.181818181818183,Ypd
59,PIM1,chr2,181714,-,-99,30.181818181818183,Ypd
60,HAP3,chr2,181714,-,625,30.181818181818183,Ypd
61,SRF1,chr4,221846,+,-132,41.142857142857146,Ypd
62,PPH21,chr4,221846,-,-867,41.142857142857146,Ypd
63,GPD2,chr15,210453,+,-656,34.74418604651163,Ypd
64,MAM3,chr15,210453,-,-279,34.74418604651163,Ypd
65,RPL21A,chr2,593668,+,-265,28.727272727272727,Ypd
66,MRS3,chr10,148931,+,-354,45.962962962962955,Ypd
67,DPI8,chr10,148931,-,-304,45.962962962962955,Ypd
68,RPL27A,chr8,116654,+,-382,21.649350649350648,Ypd
69,TDA3,chr8,116654,-,-174,21.649350649350648,Ypd
70,TEF1,chr16,708272,+,-410,11.817708333333334,Ypd
71,RPL9B,chr14,489156,+,-199,36.486486486486484,Ypd
72,PPH22,chr4,125344,-,-302,37.42857142857143,Ypd
73,RPL16B,chr14,485103,-,-353,35.513513513513516,Ypd
74,CHS7,chr8,383500,+,-291,20.90909090909091,Ypd
75,RPL42B,chr8,383500,-,-330,20.90909090909091,Ypd
76,RPL25,chr15,79866,+,-384,35.833333333333336,Ypd
77,YGK3,chr15,79866,-,-380,35.833333333333336,Ypd
78,RNR2,chr10,375246,+,-354,43.99999999999999,Ypd
79,ECM19,chr12,862986,+,402,10.566037735849058,Ypd
80,CCW14,chr12,862986,+,-142,10.566037735849058,Ypd
81,STE23,chr12,862986,-,-821,10.566037735849058,Ypd
82,POP5,chr1,71340,+,-587,19.512195121951223,Ypd
83,FUN19,chr1,71340,-,448,19.512195121951223,Ypd
84,AAC3,chr2,405309,+,-221,25.636363636363637,Ypd
85,RPL19A,chr2,405309,-,-372,25.636363636363637,Ypd
86,GDS1,chr15,998512,+,-632,34.0,Ypd
87,RPS1A,chr12,973005,-,-239,10.0,Ypd
88,RPL32,chr2,45470,+,-398,24.072727272727274,Ypd
89,ROX3,chr2,45470,-,-176,24.072727272727274,Ypd
90,RPL13A,chr4,307914,+,-162,33.42857142857143,Ypd
91,RPS16B,chr4,307914,-,-391,33.42857142857143,Ypd
92,SEC59,chr13,279725,-,-170,7.245179063360882,Ypd
93,YOR342C,chr15,962541,-,-527,31.72222222222222,Ypd
94,RPS7A,chr15,505224,+,-441,31.444444444444443,Ypd
95,RKI1,chr15,505224,-,-927,31.444444444444443,Ypd
96,PMP1,chr3,171696,-,-470,7.016620498614959,Ypd
97,YLR326W,chr12,741199,+,-397,9.433962264150944,Ypd
98,RPL38,chr12,741199,-,-260,9.433962264150944,Ypd
99,RPL12A,chr5,54705,-,-480,6.624040920716112,Ypd
100,SHR5,chr15,109831,+,740,30.47222222222222,Ypd
101,ZEO1,chr15,109831,+,-337,30.47222222222222,Ypd
102,MDY2,chr15,109831,-,-959,30.47222222222222,Ypd
103,PMP3,chr4,993252,-,-165,31.142857142857142,Ypd
104,YHR033W,chr8,171770,+,-274,17.194805194805195,Ypd
105,PGI1,chr2,602001,-,-329,21.636363636363637,Ypd
106,TYE7,chr15,973263,-,-795,28.61111111111111,Ypd
107,RPR2,chr9,376508,+,366,12.638655462184873,Ypd
108,YIR016W,chr9,376508,+,-317,12.638655462184873,Ypd
109,PRE2,chr16,740245,+,-154,9.322916666666668,Ypd
110,RPL11A,chr16,740245,-,-350,9.322916666666668,Ypd
111,RPS16A,chr13,528989,+,-362,6.426997245179064,Ypd
112,RPL13B,chr13,528989,-,-311,6.426997245179064,Ypd
113,RPL35B,chr4,217027,+,-247,28.37142857142857,Ypd
114,RPL37B,chr4,1430205,-,-141,28.285714285714285,Ypd
115,CTS1,chr12,670293,-,-372,8.575471698113208,Ypd
116,CFT1,chr4,1042364,+,-332,28.0,Ypd
117,PRO1,chr4,1042364,-,-138,28.0,Ypd
118,RPL1B,chr7,272435,+,-243,13.271844660194173,Ypd
119,MRM2,chr7,272435,-,-420,13.271844660194173,Ypd
120,RPS0B,chr12,220936,+,-366,8.254716981132075,Ypd
121,GPC1,chr7,811986,+,-445,12.62135922330097,Ypd
122,RPL24B,chr7,811986,-,-333,12.62135922330097,Ypd
123,RNR2,chr10,375202,+,-398,31.074074074074073,Ypd
124,RPL26B,chr7,573476,+,-269,12.514563106796116,Ypd
125,TIM21,chr7,573476,-,-455,12.514563106796116,Ypd
126,RPS30A,chr12,672908,-,-153,7.971698113207547,Ypd
127,RPS23A,chr7,750081,+,-358,12.33009708737864,Ypd
128,YGR117C,chr7,750081,-,-105,12.33009708737864,Ypd
129,RPL18A,chr15,94607,-,-254,24.944444444444443,Ypd
130,RPS6A,chr16,387137,-,-351,8.286458333333334,Ypd
131,RNR2,chr10,374817,+,-783,29.999999999999996,Ypd
132,VPS53,chr10,374817,-,-657,29.999999999999996,Ypd
133,RPS24A,chr5,306468,+,-264,5.588235294117647,Ypd
134,RPS25A,chr7,552970,-,-170,12.135922330097086,Ypd
135,RPS12,chr15,1023170,-,-218,23.88888888888889,Ypd
136,RPS5,chr10,646393,+,-438,28.888888888888886,Ypd
137,SIP4,chr10,248894,+,-184,28.518518518518515,Ypd
138,RPL30,chr7,456633,+,-296,11.456310679611649,Ypd
139,RPL24A,chr7,456633,-,-293,11.456310679611649,Ypd
140,RPL35B,chr4,217132,+,-142,23.342857142857145,Ypd
141,IRC13,chr15,774200,+,-238,22.555555555555557,Ypd
142,RPL33B,chr15,774200,-,-432,22.555555555555557,Ypd
143,RPS6B,chr2,580819,-,-276,16.545454545454547,Ypd
144,MNL1,chr8,506355,+,-267,13.116883116883116,Ypd
145,RPS4B,chr8,506355,-,-436,13.116883116883116,Ypd
146,RPL27B,chr4,1380628,+,-309,22.25714285714286,Ypd
147,UGO1,chr4,1380628,-,-134,22.25714285714286,Ypd
148,RPL16A,chr9,94122,-,-397,9.915966386554622,Ypd
149,CSM2,chr9,94122,-,681,9.915966386554622,Ypd
150,RPS9A,chr16,412872,+,-188,7.447916666666667,Ypd
151,MOT1,chr16,412872,-,-486,7.447916666666667,Ypd
152,RNR4,chr7,883150,-,-540,10.776699029126213,Ypd
153,RPL16B,chr14,485120,-,-370,20.972972972972972,Ypd
154,RPS16A,chr13,529081,+,-270,5.225895316804408,Ypd
155,RPL13B,chr13,529081,-,-403,5.225895316804408,Ypd
156,ENO1,chr7,1026720,+,-426,10.194174757281553,Ypd
157,RPL39,chr10,64348,+,-343,20.342857142857145,Ypd
158,RPS22A,chr10,64348,-,-246,20.342857142857145,Ypd
159,YPL162C,chr16,252704,-,-113,6.979166666666667,Ypd
160,GPP1,chr9,242689,+,-720,9.126050420168067,Ypd
161,YIL055C,chr9,242689,-,-386,9.126050420168067,Ypd
162,GPR1,chr4,392334,-,-321,20.0,Ypd
163,BDF1,chr12,881809,-,-709,6.457547169811321,Ypd
164,RPL17B,chr10,79055,+,-498,23.333333333333332,Ypd
165,ATG27,chr10,79055,-,-154,23.333333333333332,Ypd
166,RPS2,chr7,295334,+,-286,9.611650485436893,Ypd
167,MON1,chr7,295334,-,-484,9.611650485436893,Ypd
168,RPL11B,chr7,672638,-,-205,9.514563106796116,Ypd
169,POC4,chr16,288438,+,-334,6.5625,Ypd
170,KES1,chr16,288438,-,-137,6.5625,Ypd
171,RPS27B,chr8,145610,-,-376,11.168831168831169,Ypd
172,RPS19A,chr15,93047,-,-236,18.277777777777775,Ypd
173,CAR2,chr12,966074,+,-211,6.117924528301886,Ypd
174,ECM30,chr12,966074,-,-943,6.117924528301886,Ypd
175,DIF1,chr12,966074,-,-155,6.117924528301886,Ypd
176,RAP1,chr14,231459,+,-94,17.83783783783784,Ypd
177,SRP40,chr11,620076,-,-398,5.684647302904564,Ypd
178,YCG1,chr4,1096387,+,-114,18.285714285714285,Ypd
179,UTP4,chr4,1096387,-,-279,18.285714285714285,Ypd
180,HAP1,chr12,605754,+,-182,5.990566037735849,Ypd
181,NDL1,chr12,605754,-,-875,5.990566037735849,Ypd
182,ECM19,chr12,862817,+,233,5.943396226415095,Ypd
183,CCW14,chr12,862817,+,-311,5.943396226415095,Ypd
