,Gene,Chr,Pos,Strand,DistanceTSS,Strength,Condition
1,YTM1,chr15,826933,+,-161,27.060620756547042,Ypd
2,FSF1,chr15,826933,-,-503,27.060620756547042,Ypd
3,YLR112W,chr12,350305,+,543,28.50820539968237,Ypd
4,HOG1,chr12,350305,+,-191,28.50820539968237,Ypd
5,AIM21,chr9,354815,+,-266,21.700300558179475,Ypd
6,MPH1,chr9,354815,-,-102,21.700300558179475,Ypd
7,NAT2,chr7,810571,-,-135,22.602868668758404,Ypd
8,BPH1,chr3,192533,+,-112,19.868136619109382,Ypd
9,SMX3,chr16,902088,+,-95,20.277404921700224,Ypd
10,DPM1,chr16,902088,+,-681,20.277404921700224,Ypd
11,SEC23,chr16,902088,-,-310,20.277404921700224,Ypd
12,RPT2,chr4,437509,+,-164,20.234666666666666,Ypd
13,GCV2,chr13,614601,+,-198,16.96997690531178,Ypd
14,MRPS17,chr13,614601,-,-118,16.96997690531178,Ypd
15,HSH49,chr15,906937,+,-179,17.26285160038797,Ypd
16,ATG41,chr16,84186,-,-660,16.51478429471643,Ypd
17,RPL36B,chr16,84186,-,820,16.51478429471643,Ypd
18,PIB1,chr4,1069672,-,-181,17.726399999999998,Ypd
19,AVT3,chr11,178036,+,-114,16.670391061452513,Ypd
20,SDH1,chr11,178036,-,-369,16.670391061452513,Ypd
21,SIN3,chr15,316392,+,-170,13.8759623609923,Ypd
22,RPB11,chr15,316392,-,-342,13.8759623609923,Ypd
23,PSD1,chr14,307783,-,-173,15.643203883495145,Ypd
24,FMP41,chr14,307783,-,951,15.643203883495145,Ypd
25,VPS13,chr12,48785,-,-120,14.5950184501845,Ypd
26,YIL108W,chr9,154844,+,-292,15.179273084479371,Ypd
27,SEC24,chr9,154844,-,-298,15.179273084479371,Ypd
28,RPA14,chr4,750862,+,-130,14.45234708392603,Ypd
29,HOM2,chr4,750862,+,-956,14.45234708392603,Ypd
30,CPR1,chr4,750862,-,-324,14.45234708392603,Ypd
31,RGM1,chr13,603504,-,-808,14.392509727626459,Ypd
32,CBK1,chr14,322168,+,-142,14.328640776699029,Ypd
33,CLB3,chr4,176309,+,-144,15.118434603501546,Ypd
34,PGA1,chr14,330030,+,570,14.189805825242718,Ypd
35,IGO1,chr14,330030,+,-182,14.189805825242718,Ypd
36,ASI2,chr14,330030,-,-778,14.189805825242718,Ypd
37,HRR25,chr16,172506,+,-308,14.095796676441838,Ypd
38,PGC1,chr16,172506,-,-160,14.095796676441838,Ypd
39,URK1,chr14,636775,+,-264,13.658767772511847,Ypd
40,PRP2,chr14,636775,-,-108,13.658767772511847,Ypd
41,VMA16,chr8,157112,+,-106,13.854326923076922,Ypd
42,SUN4,chr14,490381,+,-269,13.927184466019417,Ypd
43,MIX17,chr13,254559,+,-345,13.645038167938932,Ypd
44,CDC5,chr13,254559,-,-311,13.645038167938932,Ypd
45,ATG41,chr16,84204,-,-678,13.841670713938806,Ypd
46,RPL36B,chr16,84204,-,802,13.841670713938806,Ypd
47,TIM44,chr9,299253,+,-115,13.437026515151516,Ypd
48,YKE4,chr9,299253,-,-491,13.437026515151516,Ypd
49,HIS5,chr9,137344,+,179,13.920923379174853,Ypd
50,YER156C,chr5,478918,-,-305,13.08464849354376,Ypd
51,NST1,chr14,441894,+,-124,13.140776699029127,Ypd
52,RPC19,chr14,402438,+,-117,13.103398058252427,Ypd
53,DBP2,chr14,402438,+,-976,13.103398058252427,Ypd
54,YNL115C,chr14,402438,-,-516,13.103398058252427,Ypd
55,GLN1,chr16,649694,+,-554,8.668275418275417,Ypd
56,ATP4,chr16,417119,-,-185,11.750334373606776,Ypd
57,YML119W,chr13,24577,+,-521,10.261821023837436,Ypd
58,NDI1,chr13,24577,-,-136,10.261821023837436,Ypd
59,BUD7,chr15,872259,+,-426,12.575169738118332,Ypd
60,MBF1,chr15,872259,-,-184,12.575169738118332,Ypd
61,CSR1,chr12,837040,+,-608,12.988330796549976,Ypd
62,SEC61,chr12,837040,-,-167,12.988330796549976,Ypd
63,PEP7,chr4,1093548,-,-99,13.505807814149946,Ypd
64,NIS1,chr14,469116,+,-357,11.877340823970037,Ypd
65,TPM1,chr14,469116,-,-161,11.877340823970037,Ypd
66,GLN3,chr5,230473,+,-116,12.07556193208991,Ypd
67,HVG1,chr5,230473,-,-99,12.07556193208991,Ypd
