,Gene,Chr,Pos,Strand,DistanceTSS,Strength,Condition
1,ASF1,chr10,184426,+,-533,5.611764705882353,Eth
2,NCA3,chr10,184426,-,-598,5.611764705882353,Eth
3,HMS2,chr10,698621,+,-505,10.325581395348838,Eth
4,RPS4A,chr10,698621,-,-554,10.325581395348838,Eth
5,MNN4,chr11,74898,-,-868,3.046296296296296,Eth
6,FAT3,chr11,99021,-,-995,16.1547619047619,Eth
7,MTR2,chr11,99021,-,774,16.1547619047619,Eth
8,FAS1,chr11,106393,+,-406,4.324324324324325,Eth
9,HAP4,chr11,237421,+,-859,23.517241379310345,Eth
10,HAP4,chr11,237531,+,-749,2.435374149659864,Eth
11,HAP4,chr11,237858,+,-422,2.8947368421052633,Eth
12,MMO1,chr11,362380,+,-115,10.250000000000002,Eth
13,PHD1,chr11,362380,+,-410,10.250000000000002,Eth
14,YKR041W,chr11,524959,+,839,4.046153846153846,Eth
15,UTH1,chr11,524959,+,-277,4.046153846153846,Eth
16,PCK1,chr11,636353,+,-408,2.3902439024390243,Eth
17,YCT1,chr12,14788,+,-222,3.6363636363636362,Eth
18,PDC1,chr12,212978,-,235,2.2586206896551726,Eth
19,AHP1,chr12,347322,+,-436,4.346153846153846,Eth
20,YLR108C,chr12,347322,-,-124,4.346153846153846,Eth
21,AHP1,chr12,347398,+,-360,4.993055555555556,Eth
22,YLR108C,chr12,347398,-,-200,4.993055555555556,Eth
23,YLR112W,chr12,349008,+,-754,2.299363057324841,Eth
24,CCW12,chr12,349008,-,147,2.299363057324841,Eth
25,ILV5,chr12,797981,-,841,2.5517241379310347,Eth
26,SOK2,chr13,289003,-,-424,3.563218390804598,Eth
27,SOK2,chr13,289443,-,-864,4.843373493975903,Eth
28,GAT2,chr13,517920,+,-612,34.2991452991453,Eth
29,GID8,chr13,517920,-,-380,34.2991452991453,Eth
30,GAT2,chr13,517963,+,-569,28.601694915254235,Eth
31,GID8,chr13,517963,-,-423,28.601694915254235,Eth
32,GAT2,chr13,518104,+,-428,10.886956521739132,Eth
33,GID8,chr13,518104,-,-564,10.886956521739132,Eth
34,RSN1,chr13,775025,+,-413,2.4096385542168672,Eth
35,YMR265C,chr13,775025,-,-181,2.4096385542168672,Eth
36,RPS3,chr14,291939,+,-616,18.044444444444444,Eth
37,POR1,chr14,508273,-,329,2.4756097560975614,Eth
38,COX5A,chr14,521576,+,170,2.658536585365854,Eth
39,COG5,chr14,521576,+,-789,2.658536585365854,Eth
40,NCE103,chr14,549247,+,-228,39.757009345794394,Eth
41,IDH1,chr14,549247,-,-428,39.757009345794394,Eth
42,NCE103,chr14,549293,+,-182,8.560747663551401,Eth
43,IDH1,chr14,549293,-,-474,8.560747663551401,Eth
44,LST8,chr14,608934,+,-822,2.3170731707317076,Eth
45,ASI3,chr14,608934,-,-969,2.3170731707317076,Eth
46,SIS1,chr14,608934,-,457,2.3170731707317076,Eth
47,TIM23,chr14,652041,+,-367,25.276119402985074,Eth
48,ACC1,chr14,652041,-,-441,25.276119402985074,Eth
49,CPA1,chr15,876742,+,-246,10.258064516129032,Eth
50,FAA1,chr15,902932,+,-680,6.458715596330276,Eth
51,COT1,chr15,902932,-,-960,6.458715596330276,Eth
52,ISU1,chr16,305453,+,-354,17.97979797979798,Eth
53,GIP3,chr16,305453,-,-426,17.97979797979798,Eth
54,ALD6,chr16,440115,+,-574,4.214876033057851,Eth
55,MFM1,chr16,441771,+,-654,2.317073170731707,Eth
56,RMI1,chr16,511075,+,-557,4.7011494252873565,Eth
57,SKS1,chr16,511075,-,-635,4.7011494252873565,Eth
58,RMI1,chr16,511201,+,-431,52.425287356321846,Eth
59,SKS1,chr16,511201,-,-761,52.425287356321846,Eth
60,SPO24,chr16,653794,+,-238,6.8321167883211675,Eth
61,ROX1,chr16,687089,+,-693,47.670103092783506,Eth
62,YPR063C,chr16,687089,-,-597,47.670103092783506,Eth
63,ECM13,chr2,136421,+,-414,8.605633802816902,Eth
64,COR1,chr2,136421,-,-435,8.605633802816902,Eth
65,TIP1,chr2,362269,-,151,2.082474226804124,Eth
66,COQ21,chr2,674398,+,492,2.526315789473684,Eth
67,OM14,chr2,674398,-,-740,2.526315789473684,Eth
68,COQ21,chr2,674906,+,1000,2.4742268041237114,Eth
69,YCP4,chr3,126197,-,-548,2.3529411764705883,Eth
70,CIT2,chr3,127083,-,454,2.0172413793103448,Eth
71,YCR006C,chr3,128770,-,-632,2.108433734939759,Eth
72,PGK1,chr3,143145,+,290,2.791208791208791,Eth
73,ADP1,chr3,143145,-,-995,2.791208791208791,Eth
74,RSM10,chr4,525584,+,-555,3.755813953488372,Eth
75,SED1,chr4,587211,+,233,2.34375,Eth
76,SED1,chr4,587618,+,640,2.341463414634146,Eth
77,ADK1,chr4,896602,+,585,3.3906249999999996,Eth
78,SIR4,chr4,896602,+,-443,3.3906249999999996,Eth
79,YAP6,chr4,956256,-,-689,15.883720930232558,Eth
80,SWM1,chr4,956256,-,583,15.883720930232558,Eth
81,HXT6,chr4,1141545,-,-730,2.710526315789474,Eth
82,APT2,chr4,1324625,-,-200,26.66279069767442,Eth
83,ITR1,chr4,1424747,-,-16,2.5681818181818183,Eth
84,SNA2,chr4,1468860,+,-890,3.565789473684211,Eth
85,AGE1,chr4,1468860,-,-618,3.565789473684211,Eth
86,YDR524C-B,chr4,1468860,-,166,3.565789473684211,Eth
87,SNA2,chr4,1469450,+,-300,3.142857142857143,Eth
